"   ";"DT_MVTO_ESTOQUE";"QUANTIDADE"
"519";"04/03/2024";"36"
"520";"29/02/2024";"12"
"521";"20/02/2024";"36"
"522";"15/02/2024";"60"
"523";"02/02/2024";"36"
"524";"08/01/2024";"36"
"525";"07/11/2023";"48"
"526";"25/09/2023";"36"
"527";"28/08/2023";"60"
"528";"25/08/2023";"24"
"529";"24/08/2023";"60"
"530";"10/08/2023";"36"
"531";"07/08/2023";"24"
"532";"04/08/2023";"84"
"533";"21/07/2023";"36"
"534";"20/06/2023";"72"
"535";"13/06/2023";"48"
"536";"12/06/2023";"24"
"537";"05/06/2023";"60"
"538";"30/05/2023";"96"
"539";"14/03/2023";"48"
"540";"03/03/2023";"48"
"541";"22/02/2023";"24"
"542";"03/02/2023";"36"
"543";"16/01/2023";"48"
"544";"06/01/2023";"36"
"545";"05/01/2023";"12"
"546";"28/11/2025";"24"
"547";"24/11/2025";"48"
"548";"21/11/2025";"36"
"549";"03/11/2025";"36"
"550";"28/10/2025";"24"
"551";"23/10/2025";"12"
"552";"20/10/2025";"48"
"553";"14/10/2025";"60"
"554";"05/09/2025";"36"
"555";"02/09/2025";"36"
"556";"27/08/2025";"36"
"557";"14/08/2025";"36"
"558";"07/08/2025";"24"
"559";"29/07/2025";"36"
"560";"11/07/2025";"24"
"561";"30/06/2025";"24"
"562";"29/05/2025";"24"
"563";"20/05/2025";"24"
"564";"06/05/2025";"24"
"565";"29/04/2025";"12"
"566";"09/04/2025";"12"
"567";"01/04/2025";"24"
"568";"12/03/2025";"24"
"569";"27/02/2025";"12"
"570";"24/02/2025";"36"
"571";"19/02/2025";"12"
"572";"13/02/2025";"36"
"573";"12/02/2025";"12"
"574";"06/01/2025";"24"
"575";"02/01/2025";"72"
"576";"04/12/2024";"36"
"577";"29/11/2024";"24"
"578";"07/11/2024";"24"
"579";"05/11/2024";"24"
"580";"21/10/2024";"48"
"581";"18/10/2024";"12"
"582";"10/09/2024";"36"
"583";"28/08/2024";"36"
"584";"10/07/2024";"36"
"585";"10/06/2024";"36"
"586";"05/06/2024";"36"
"587";"09/05/2024";"48"
"588";"02/05/2024";"72"
"589";"25/04/2024";"24"
"590";"19/04/2024";"60"
"591";"17/04/2024";"48"
